28;45;53
190;344;358
233;307;256
264;222;296
437;485;281
487;223;202
436;55;420
30;40;50
120;160;200
66;396;199
260;140;295
33;26;297
15;112;113
152;141;456
21;72;75
417;300;335
348;32;49
235;403;332
170;170;271
225;86;65
400;164;26
138;189;373
310;37;497
340;59;153
399;374;490
223;22;243
309;397;43
331;45;448
79;294;414
354;275;218
20;76;2
24;143;145
8;15;17
463;421;454
61;368;273
480;387;360
175;439;487
365;18;48
434;480;345
351;479;295
305;301;210
168;204;178
132;176;220
424;97;362
27;343;120
114;177;97
197;422;200
235;257;32
9;40;41
314;434;262
258;441;259
297;177;135
230;392;201
4;56;359
290;319;213
218;55;8
60;169;161
69;277;295
125;103;122
49;168;175
480;140;429
38;247;361
164;115;6
244;497;328
292;343;228
247;228;158
386;383;281
282;313;220
266;418;295
30;40;50
13;331;56
327;359;46
458;335;119
102;313;407
265;31;132
237;215;153
99;132;165
137;256;72
60;91;109
187;52;402
230;168;159
108;122;406
192;155;223
304;151;270
486;93;156
404;80;110
119;120;169
465;98;134
199;468;272
131;427;452
120;160;200
53;427;224
388;131;49
355;266;202
160;168;232
236;288;242
489;55;5
250;247;419
22;120;122
106;230;358
135;180;225
76;487;96
43;136;170
46;457;285
95;12;322
167;438;63
31;6;325
113;458;54
315;109;126
80;150;170
24;32;40
9;40;41
117;156;195
414;409;337
133;143;204
406;87;321
252;410;294
322;362;436
169;236;191
105;227;224
467;249;423
30;40;50
463;297;92
58;39;228
21;72;75
48;64;80
336;258;417
119;255;391
124;161;188
20;21;29
123;164;205
336;59;446
349;33;104
53;286;285
415;261;12
454;297;165
342;218;279
20;21;29
6;8;10
88;105;137
433;484;276
183;231;158
80;150;170
139;387;161
13;84;85
111;278;64
185;292;230
57;254;183
96;459;56
222;246;89
307;370;137
321;209;53
165;148;56
317;261;262
386;283;463
132;398;426
429;198;400
475;19;11
8;87;149
180;440;320
80;266;307
472;212;297
48;55;73
156;315;371
290;257;448
158;365;447
24;70;74
382;173;131
42;56;70
20;48;52
89;294;226
443;24;479
196;154;279
306;70;270
185;386;36
230;346;185
343;475;247
388;57;79
84;187;205
140;32;203
235;305;358
303;470;410
290;498;478
429;479;358
77;420;126
459;332;173
135;180;225
228;361;327
63;84;105
269;83;124
283;301;267
169;118;323
118;250;455
60;80;100
450;247;357
194;21;16
168;109;145
12;16;20
163;468;438
104;153;185
64;122;346
15;36;39
375;391;292
179;42;270
410;142;414
20;99;101
168;368;463
249;320;216
346;330;444
337;192;489
223;496;160
466;181;314
292;451;46
332;313;457
20;99;101
101;221;234
410;84;380
305;263;392
66;88;110
85;14;233
9;284;168
88;246;214
280;28;61
331;428;24
454;364;341
385;327;374
72;412;461
131;448;464
282;445;316
372;272;435
52;173;455
465;184;328
132;176;220
488;227;260
8;290;82
283;224;1
56;192;200
